"Day","Max.Temp","Min.Temp","Avg.Temp","X","X.1","X.2","X.3","X.4"
"2021-12-01",46,33,39.5,NA,NA,NA,NA,NA
"2021-12-02",60,36,48,NA,NA,NA,NA,NA
"2021-12-03",45,33,39,NA,NA,NA,NA,NA
"2021-12-04",42,28,35,NA,NA,NA,NA,NA
"2021-12-05",47,38,42.5,NA,NA,NA,NA,NA
"2021-12-06",62,42,NA,NA,NA,NA,NA,NA
"2021-12-07",45,34,39.5,NA,NA,NA,NA,NA
"2021-12-08",37,28,32.5,NA,NA,NA,NA,NA
"2021-12-09",38,NA,32,NA,NA,NA,NA,NA
"2021-12-10",44,28,36,NA,NA,NA,NA,NA
"2021-12-11",64,35,49.5,NA,NA,NA,NA,NA
"2021-12-12",62,38,50,NA,NA,NA,NA,NA
"2021-12-13",52,37,44.5,NA,NA,NA,NA,NA
"2021-12-14",NA,35,43,NA,NA,NA,NA,NA
"2021-12-15",45,32,38.5,NA,NA,NA,NA,NA
"2021-12-16",60,45,52.5,NA,NA,NA,NA,NA
"2021-12-17",60,42,51,NA,NA,NA,NA,NA
"2021-12-18",43,33,38,NA,NA,NA,NA,NA
"2021-12-19",44,23,NA,NA,NA,NA,NA,NA
"2021-12-20",33,20,26.5,NA,NA,NA,NA,NA
"2021-12-21",44,30,37,NA,NA,NA,NA,NA
"2021-12-22",43,33,38,NA,NA,NA,NA,NA
"2021-12-23",33,24,28.5,NA,NA,NA,NA,NA
"2021-12-24",30,23,26.5,NA,NA,NA,NA,NA
"2021-12-25",36,28,32,NA,NA,NA,NA,NA
"2021-12-26",40,NA,36.5,NA,NA,NA,NA,NA
"2021-12-27",35,30,32.5,NA,NA,NA,NA,NA
"2021-12-28",46,33,39.5,NA,NA,NA,NA,NA
"2021-12-29",42,36,39,NA,NA,NA,NA,NA
"2021-12-30",42,38,40,NA,NA,NA,NA,NA
"2021-12-31",46,40,43,NA,NA,NA,NA,NA
